x,z,taille
# Ensemble de particules : N = 100 | d = 0.1 | E_0 = 1 | taille = 0
-7.25,11.25,0
18.75,-20.05,0
-8.95,-13.65,0
-23.35,-5.15,0
-15.85,12.75,0
4.15,2.35,0
-0.95,-4.85,0
-9.15,-16.75,0
19.95,-23.25,0
7.75,22.05,0
-17.85,8.55,0
23.45,9.65,0
20.65,8.25,0
12.75,-2.15,0
-19.35,-18.15,0
-3.45,9.65,0
-20.55,19.75,0
10.25,-11.25,0
-10.45,11.15,0
-12.55,-5.35,0
-22.25,6.95,0
-13.45,-9.85,0
23.35,13.25,0
-21.95,-11.25,0
11.15,3.85,0
19.85,-23.65,0
21.65,-19.95,0
-10.55,-23.45,0
-14.15,8.75,0
-7.65,17.25,0
18.65,-20.55,0
-20.95,-0.75,0
22.05,3.95,0
-4.95,24.05,0
3.95,23.45,0
-23.65,3.65,0
14.35,-9.15,0
-7.05,12.95,0
-11.15,9.15,0
17.65,8.55,0
11.65,-0.95,0
4.15,6.55,0
-15.15,-21.75,0
14.95,6.25,0
17.95,-6.95,0
-20.25,-15.45,0
-2.75,5.65,0
3.45,8.75,0
7.55,-1.05,0
-4.05,-22.05,0
12.55,-14.55,0
11.05,-6.15,0
-11.75,1.65,0
-23.55,13.55,0
-9.65,3.15,0
-9.55,1.15,0
2.15,6.05,0
-5.95,-0.25,0
-8.75,7.95,0
-14.65,-12.15,0
24.85,-6.55,0
-22.75,24.35,0
-23.85,1.65,0
-5.15,20.85,0
8.65,-8.55,0
-23.25,3.35,0
24.65,22.55,0
-2.05,22.95,0
-6.55,2.95,0
-4.15,17.55,0
3.45,-14.35,0
1.55,-5.15,0
-24.45,3.65,0
-1.15,-18.05,0
23.35,14.35,0
-9.15,-3.85,0
-0.15,-23.35,0
-0.15,-6.15,0
16.85,-5.95,0
-18.45,1.35,0
4.45,5.65,0
-3.15,14.95,0
14.65,8.75,0
15.65,-18.65,0
-5.15,20.05,0
16.85,10.35,0
9.35,16.95,0
19.65,9.15,0
-9.65,4.65,0
20.65,-1.35,0
16.95,-16.65,0
-5.45,3.05,0
-3.15,-16.15,0
4.45,-22.75,0
-12.25,-18.15,0
16.45,-16.95,0
-14.25,5.35,0
4.65,-8.75,0
5.15,9.25,0
-19.55,5.05,0
18.05,-11.95,0
-5.05,16.65,0
-0.55,15.75,0
-15.55,-22.35,0
-0.95,-17.25,0
1.35,-24.95,0
19.35,0.85,0
7.75,14.05,0
14.35,-23.65,0
1.05,-9.85,0
-3.15,15.75,0
-22.05,22.95,0
18.75,-21.15,0
-10.05,-15.75,0
-22.15,2.45,0
-23.85,-6.85,0
-18.95,12.45,0
7.15,-2.05,0
-14.65,10.95,0
-1.25,-23.75,0
-15.85,1.95,0
0.15,17.05,0
-10.45,24.65,0
-8.75,21.95,0
3.65,17.05,0
-14.55,24.65,0
-15.75,11.35,0
19.85,-19.25,0
-24.25,3.35,0
15.65,1.85,0
-13.45,-0.65,0
11.95,24.95,0
23.15,9.25,0
-5.85,16.55,0
13.85,-1.15,0
-21.55,-21.15,0
3.95,16.65,0
2.05,-17.05,0
-14.55,0.05,0
-8.05,17.55,0
6.95,14.05,0
23.45,5.75,0
-19.65,23.05,0
-24.45,1.35,0
