x,z,taille
-13.5703,1.33594,0.140625
-13.9922,1.47656,0.140625
-13.8516,1.47656,0.140625
-13.9922,1.61719,0.140625
-17.9297,3.02344,0.140625
-17.1562,3.09375,0.5625
-16.3125,2.8125,1.125
-17.4375,3.9375,1.125
-16.5938,4.21875,0.5625
-15.1875,2.8125,1.125
-14.0625,2.8125,1.125
-15.1875,3.9375,1.125
-13.5703,3.72656,0.140625
-14.2734,4.14844,0.140625
-14.1328,4.42969,0.140625
-20.25,6.75,4.5
-15.75,6.75,4.5
-21.9375,9.5625,1.125
-20.5312,9.28125,0.5625
-21.0938,9.84375,0.5625
-20.6016,9.77344,0.140625
-22.4297,10.4766,0.140625
-22.0078,10.6172,0.140625
-21.5859,10.4766,0.140625
-22.1484,10.8984,0.140625
-21.7266,10.8984,0.140625
-21.7266,11.1797,0.140625
-20.8125,10.6875,1.125
-19.7578,9.07031,0.140625
-19.7578,9.91406,0.140625
-19.8984,10.0547,0.140625
-19.4062,9.84375,0.5625
-18.5625,9.5625,1.125
-19.8984,10.4766,0.140625
-19.6172,10.6172,0.140625
-19.1953,10.4766,0.140625
-18.5625,10.6875,1.125
-22.2188,12.0938,0.5625
-21.8672,12.1641,0.140625
-21.5859,12.1641,0.140625
-21.4453,12.3047,0.140625
-21.0938,11.5312,0.5625
-21.1641,11.8828,0.140625
-20.8828,12.0234,0.140625
-21.0234,12.1641,0.140625
-20.5312,12.0938,0.5625
-22.2188,12.6562,0.5625
-21.6562,12.6562,0.5625
-22.2188,13.2188,0.5625
-21.6562,13.2188,0.5625
-20.8125,12.9375,1.125
-20.1797,11.6016,0.140625
-18.5625,11.8125,1.125
-19.6875,12.9375,1.125
-18.5625,12.9375,1.125
-15.75,11.25,4.5
-18,18,9
-13.2188,-22.2188,0.5625
-12.6562,-22.2188,0.5625
-13.2891,-21.7266,0.140625
-12.6562,-21.6562,0.5625
-12.1641,-22.2891,0.140625
-12.0234,-22.2891,0.140625
-11.4609,-22.4297,0.140625
-12.9375,-20.8125,1.125
-12.0938,-21.0938,0.5625
-11.1797,-22.2891,0.140625
-10.3359,-21.8672,0.140625
-10.4766,-21.4453,0.140625
-9.5625,-21.9375,1.125
-10.9688,-21.0938,0.5625
-10.4062,-21.0938,0.5625
-10.4062,-20.5312,0.5625
-10.0547,-21.3047,0.140625
-9.84375,-20.5312,0.5625
-13.1484,-19.8984,0.140625
-12.4453,-20.1797,0.140625
-12.5859,-20.0391,0.140625
-13.2188,-19.4062,0.5625
-12.5859,-19.6172,0.140625
-12.4453,-19.6172,0.140625
-12.0938,-19.9688,0.5625
-11.4609,-19.8984,0.140625
-11.3203,-19.7578,0.140625
-11.5312,-19.4062,0.5625
-12.6562,-18.8438,0.5625
-13.2188,-18.2812,0.5625
-12.7266,-18.0703,0.140625
-11.8125,-18.5625,1.125
-10.6875,-19.6875,1.125
-9.28125,-19.9688,0.5625
-10.3359,-18.7734,0.140625
-9.63281,-18.7734,0.140625
-9.49219,-18.7734,0.140625
-8.4375,-21.9375,1.125
-7.24219,-22.2891,0.140625
-6.82031,-22.4297,0.140625
-7.59375,-21.6562,0.5625
-6.82031,-21.4453,0.140625
-8.64844,-21.1641,0.140625
-7.94531,-21.3047,0.140625
-8.92969,-20.7422,0.140625
-8.08594,-20.3203,0.140625
-7.3125,-20.8125,1.125
-6.1875,-21.9375,1.125
-5.0625,-21.9375,1.125
-5.90625,-21.0938,0.5625
-6.11719,-20.7422,0.140625
-5.0625,-20.8125,1.125
-8.64844,-19.4766,0.140625
-7.66406,-20.0391,0.140625
-7.24219,-19.8984,0.140625
-7.38281,-19.4766,0.140625
-7.24219,-19.6172,0.140625
