vx,vz
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
-54.6739,-254.826
10.2529,94.7102
-119.483,-231.425
-195.499,169.055
-60.8039,-165.16
136.577,-175.944
-16.4122,-27.2
-97.3156,303.273
196.488,156.566
-125.123,-191.58
-86.7555,-268.562
-3.89159,234.889
-141.436,-148.334
-29.4259,-114.314
244.446,194.133
26.9365,-87.9744
107.968,52.7315
75.672,38.6333
-24.8078,-2.19756
-190.937,98.279
-120.673,75.7716
147.976,128.199
193.717,248.033
92.368,39.5037
18.0125,-103.016
92.2858,368.119
76.837,97.8737
190.511,-274.407
22.0081,-1.47828
160.671,-83.5139
-27.1672,248.507
-264.625,41.0195
-146.087,-108.852
-141.473,239.699
-113.14,-0.101849
173.717,26.8725
224.161,70.4827
43.1052,-75.4054
130.215,-46.0854
-41.4325,152.466
74.9705,18.7144
-62.7655,216.515
39.1446,105.971
132.743,-27.2169
105.412,-28.0651
91.9835,255.197
62.1202,-200.767
164.322,-28.639
84.6258,213.697
9.14283,-207.479
-54.4734,-20.2205
-232.821,-16.9762
-45.2695,24.7316
53.3712,23.5105
-333.082,-46.7193
75.0456,71.5359
-234.139,13.9066
117.389,-43.6687
-194.788,-120.766
-106.508,37.1057
379.067,-330.577
21.6958,-62.4939
61.0279,297.077
-160.51,130.329
4.8034,-62.9983
-128.879,89.4466
18.2079,-221.056
-125.918,-217.009
60.8186,-53.272
-9.5658,-59.6008
207.564,84.3727
-24.2806,-181.825
-270.646,166.895
19.6537,50.8234
119.488,50.4789
-149.371,-76.8713
61.4606,254.793
127.995,-334.241
58.811,-119.674
34.4742,-99.288
109.286,67.6802
70.3993,184.346
-39.8662,-103.014
14.6616,-1.94658
11.6532,-104.175
-31.571,-331.474
39.5624,-116.921
25.6663,2.54595
355.105,-134.595
50.2372,-300.051
43.696,-5.78585
-9.45618,-24.5208
-56.8234,131.064
164.942,-30.3728
211.765,79.5921
157.954,130.717
-114.459,7.87473
-33.6531,-20.5094
57.35,80.375
189.067,-264.712
93.5214,218.595
4.28293,-111.074
-35.7428,62.6849
-13.4062,135.929
230.183,-61.6551
29.5057,-102.807
-217.731,-46.4151
-18.3239,-61.7074
28.7249,227.099
-81.7099,-28.7099
-257.16,73.8627
-28.5964,55.8545
-3.69294,-146.097
-123.88,-82.8147
-85.1168,65.9113
-20.9284,-26.7156
-79.4825,-184.033
120.346,82.8331
147.671,54.6937
20.636,300.836
182.285,-174.843
-193.211,172.154
215.356,-71.5055
-225.527,24.0755
-102.457,-240.895
54.7853,282.371
0.815218,-23.2744
-94.8065,-137.882
179.243,-115.956
-290.256,-28.1292
248.641,-189.313
58.694,-211.322
143.455,284.493
268.433,-90.0179
-89.9075,-35.4718
46.5768,65.289
31.8972,29.7422
139.704,-66.6942
246.97,181.186
146.338,36.4587
16.6505,15.2208
203.962,-481.226
28.5567,87.003
132.44,-331.165
198.437,33.8375
-69.6284,-22.2353
-159.356,-310.116
214.93,254.512
312.855,-135.783
142.505,104.934
171.15,193.69
81.4478,-5.43414
-262.204,-155.647
-22.1373,14.4622
-240.517,71.6002
-94.488,25.7403
-97.2545,154.594
4.06173,-181.392
-33.4882,-53.4666
-107.072,236.929
-47.7134,10.7627
-17.7731,-192.919
78.243,-78.8371
-90.7112,299.337
-120.273,-198.862
-45.8614,-112.947
-166.167,-249.189
98.4036,-150.318
-3.59837,41.9666
-12.9098,260.284
-253.181,228.476
-81.8962,34.3659
-50.8033,-111.316
-248.451,-166.239
-307.064,-209.058
-20.9192,53.8713
278.853,-63.9421
-48.7726,39.0077
-149.8,18.9356
61.309,-184.408
-153.419,181.286
-93.3536,-24.8703
-203.81,101.233
-183.105,-17.5908
-117.52,-123.818
248.284,164.283
-58.681,42.4401
43.7661,-214.014
-111.299,-62.2222
-138.896,-313.946
-16.1973,-164.953
-165.326,118.081
-38.0943,290.074
-125.132,199.397
-129.322,147.095
-29.4268,37.2508
-59.7351,-23.2688
48.1795,35.2842
113.111,-9.79366
-15.9379,-65.3985
-104.915,-71.5356
90.7787,-176.387
9.82829,198.542
-113.846,-122.867
-243.493,166.86
-277.162,-212.611
175.162,-183.258
-367.738,-85.7915
29.5723,-354.168
-46.4405,40.8601
13.7109,-67.4021
44.0356,-246.246
134.396,-43.3512
31.5112,-139.133
214.9,-4.54732
-364.426,111.858
279.215,265.666
10.5611,-104.461
-224.636,-52.7867
60.2751,57.3712
-229.595,86.6189
352.946,-233.027
66.5924,88.7013
8.73411,170.424
113.238,210.549
47.2487,-55.6301
-86.533,-35.7077
28.2261,63.9483
226.097,23.3776
-85.5055,-155.704
254.037,225.359
18.1064,68.2085
-18.5881,60.1995
84.7778,-128.385
-21.5382,25.7849
-101.29,-176.553
-94.8966,173.538
92.6663,19.945
36.5664,164.917
46.1724,130.065
63.6181,327.625
48.4546,-70.3665
-49.8495,11.3408
88.5125,-86.3207
96.9499,-79.8686
81.4599,-182.84
-161.5,-20.6638
-56.4427,-25.3016
44.3841,75.018
62.3059,29.1321
-87.8366,143.321
143.719,-278.616
-88.9228,-241.948
-216.739,-114.898
-1.89749,151.627
-90.4265,-231.112
85.0798,-162.513
-98.9556,193.605
-154.575,-193.301
122.619,65.1669
-38.6369,-42.0934
122.323,229.433
-112.218,6.9788
-54.7641,114.896
-51.8792,12.9119
-264.717,60.5492
-2.69356,-50.3989
46.2633,-149.101
-107.241,47.125
-47.0071,73.3157
66.6583,65.3319
-85.4904,186.037
5.00588,-31.4115
-241.754,-155.638
246.878,161.885
-41.0797,21.2748
-50.9607,92.4353
105.706,-159.995
-130.489,135.11
55.7253,-22.8524
-218.965,3.40132
-356.591,157.689
262.685,-141.875
-21.7484,133.366
74.1231,152.768
-117.19,70.2374
-22.7485,-27.1738
-215.185,-0.285868
-90.2869,161.725
59.7111,-197.92
-97.196,-38.5793
129.593,-179.601
-113.697,-96.7205
-22.526,-94.4171
-122.16,-44.464
-126.478,-58.4405
33.7415,25.0624
-176.803,-24.2262
-5.15406,165.269
-165.788,55.6335
235.849,-198.694
1.05198,34.0502
29.1491,-198.051
119.603,-380.694
49.3978,16.4575
-43.8286,61.2291
3.2519,-228.722
-143.731,81.4024
-178.859,-5.49264
-255.054,-83.7632
-74.9594,-45.5342
-96.5619,209.44
